The user is then taken to the View/Update Item screen 3.5.,1;;;
the Seller may ask the Buyer to return the goods, await collection of the goods (by the Seller or his carrier) or destroy the goods.,0;;;
2.1.4 Accounting The Documents included are: Invoice is sent from the Seller to the Buyer to request payment for goods delivered or services performed.,1;;;
Invoice is a Value Added Tax (VAT) Document.,0;;;
Self Billed Invoice is an Invoice sent from the Buyer to the Seller where the two have a self billing arrangement.,0;;;
For more information regarding HMCE requirements for self billing, see WWW.hmce.qov.uk/forms/notices/700-62.htm Self Billed Invoice is a VAT Document.,0;;;
Credit Note is sent from the Seller to the Buyer, confirming that the Seller owes money to the Buyer.,0;;;
It may be used to rectify errors and/or variances in the invoicing process.,0;;;
Credit Note is a VAT Document.,0;;;
Debit Note is sent from the Buyer to the Seller, stating that Buyer has deducted amounts from a Seller?s Invoice.,1;;;
A Debit Note precludes the need for a Seller to raise a Credit Note.,1;;;
Debit Note is a VAT Document.,0;;;
Remittance Advice is sent from the Buyer to the Seller, notifying payment and stating what Invoices, Credit and Debit Notes have been accounted for.,1;;;
Statement is sent from the Seller to the Buyer summarising the status of the Buyer?s account and the Invoices, Remittances, Debit and Credit Notes submitted within a speci?c time period.,1;;;
2.2 Parties A Party is any person, organisation or computer system that sends or receives goods, services or information.,0;;;
A role is a job done by a particular Party.,1;;;
One Party may play a number of roles in a Document.,1;;;
Every Document has a sender and receiver, one of which is a Buyer role, the other a Seller role.,0;;;
The Party types, ro|es names and Documents sent and received are shown in Table 2.,0;;;
Seller ro|es include: Sales Point Despatch Point Customer Service Accounts Receivable is responsible for the arrangement and maintenance of trading agreements with suppliers, including Catalogue data.,1;;;
"The Purchasing Manager is not involved in other transactions; if the Purchasing Manager requests or makes a purchase, that individual adopts the role of Originator or Order Point respectively.,1";;;
If Originator subsequently places a Purchase Order, the Originator adopts the role of Order Point.,0;;;
Purchase Card (credit or debit card) information may be associated with the Order Point.,0;;;
It may include Electronic Funds Transfer (EFT) information i.e.,0;;;
Note: Messages to and from banks are out of scope.,0;;;
2.2.3 Third Party Roles Third Party ro|es include: Carrier is assigned by the Seller or the Buyer to deliver or return goods.,1;;;
Note: Messages to and from carriers are out of scope.,0;;;
2.3 Codes and Identifiers Semantic interoperability depends on the ability of computers to match identi?ers and codes.,0;;;
Identifiers and codes are needed to enable: 0 the Seller to identify the Buyer.,0;;;
commodity classification, and identi?ed at individual or Catalogue |tem level as appropriate.,0;;;
The identi?ers, coding and classification schemes used in this specification fall into five groups: International used and maintained internationally, including: 0 country codes (ISO 3166).,0;;;
0 International Commercial Terms (INCOTERMS - International Chambers of Commerce).,1;;;
0 Units of Measure (UN Recommendation No.,1;;;
National used and maintained nationally, including the OeE Government.,0;;;
Data Standards Catalogue (GDSC).,0;;;
Examples include: 0 Company registration number.,0;;;
Speci?ed in this developed for this speci?cation including: Document 0 Document status 0 payment method Application-speci?c a variety of application-speci?c identification schemes are supported.,0;;;
0 Buyer reference for Seller.,1;;;
0 locally specified identifiers for instances of: o Quotation.,1;;;
0 Purchase Order.,1;;;
0 Fulfilment Notification.,1;;;
Universally Unique Universally Unique Identifier (UUID) is an instance identifier Identi?ers generated on the fly as speci?ed in ISO 11587.,0;;;
UUID is a 128 bit string usua||y formatted as 32 characters alphanumeric.,0;;;
In this specification UUID is used for matching instances of Document and Line between Documents and for referring to multiple ro|e instances of the same Party within a single Document.,0;;;
UUIDs provide an effective means to ensure exact matching of identifiers at machine level, but are not well suited to visual matching, which is why existing ID data are also required.,1;;;
Common Elements Each Document is made up of a common set of elements, which are described below.,0;;;
The descriptions are illustrated with UML class diagrams.,0;;;
A specialisation inherits all of the properties of its parent class.,0;;;
Some knowledge of UML is needed to understand the model fully, but the text is intended to be understandable to those who are not familiar with the UML notation.,1;;;
contains information about each Party including organisation and person details, postal and electronic addresses.,0;;;
A sender and a receiver are included in every Document.,1;;;
3.2 Party A Party is any person, organisation or computer system that sends or receives information, goods or services.,0;;;
A role is a job done by a particular Party.,0;;;
One Party may play a number of roles in a Document.,0;;;
This may be useful in providing references within a Document to the same Party in several different places.,0;;;
The full details of any Party only need to be provided once and other occurences of the same Party may be cross-referenced using Party UUID.,1;;;
is the unstructured name of an individual within an organisation.,0;;;
Unstructured name is typically entered manua||y at the time of the transaction.,0;;;
When an unstructured address is used, it must have 1 to 5 Lines.,0;;;
The UK Post Code is a combination of between five and seven letters and numbers which define four different levels of geographic unit.,1;;;
Although Post Code cannot be made mandatory in all circumstances, it should be present if known.,0;;;
This needs to be coded to enable collection of management data on source of imports and exports.,0;;;
For companies registered in England and Wales, this is the company Registration Number issued by Companies House, Cardiff.,0;;;
VAT Identifier includes Country Code (as above) and VAT number.,1;;;
It is a specific Internet identifier that contains a locally interpreted string followed by the ?at? sign (@) followed by an Internet domain.,0;;;
This may be useful in providing references within a Document to the same Party in several different places.,0;;;
The full details of any Party only need to be provided once and other occurences of the same Party may be cross-referenced using Party UUID.,0;;;
(PAON) is the premise number and/or premise name, or where neithe rof these exist it is the name of the organisation in occupation or a description of the addressable object e.g.,1;;;
Where an industrial estate contains streets it is defined as a locality in its own right.,0;;;
UK |nterna| Code is used if the Country Code is GB.,0;;;
"3.2.3 Extended Electronic Address eAddress XE ""URL""eAddress Channel eAddress Use is the number or string of the electronic address or telephone number.,1";;;
3.2.4 Person Structured Name Title Forename Surname Name Suffix Job Title Department Known As is an individual?s address tit|e e.g.,0;;;
Merchant Capability is the Seller?s capability to send invoice data via the Purchase Card provider (VISA/MasterCard/American Express): 0 Level 1 ? no invoice data 0 Level 2 ? summary invoice data 0 Level 3 ? line level invoice data.,1;;;
3.2.10 Accounts Receivable Account Number is the Bank account number.,0;;;
DigitalHome Software Requirements Specification This document specifies the requirements for the development of a ?Smart House?, called DigitalHome (DH), by the DigitalHomeOwner Division of HomeOwner Inc.,0;;;
The DigitalHome Software Requirements Specification (SRS) is based on the DigitalHome Customer Need Statement.,0;;;
It is made up of a list of the principal features of the system.,0;;;
This initial version of DigitalHome will be a limited prototype version, which will be used by HomeOwner management to make business decisions about the future commercial development of DigitalHomeOwner products and services.,0;;;
Hence, the SRS is not intended as a comprehensive or complete specification of DigitalHome requirements.,0;;;
There is a supplementary document that provides additional detail and information about the DigitalHome requirements: the Digital Home Use Case Model [HO2010].,0;;;
These document were prepared by the DigitalHomeOwner Division, in consultation with the Marketing Division of HomeOwner Inc.,0;;;
The Digital Home system, for the purposes of this document, is a system that will allow a home user to manage devices that control the environment of a home.,0;;;
The user communicates through a personal web page on the DigitalHome web server or on a local home server.,0;;;
The DH web server communicates, through a home wireless gateway device, with the sensor and controller devices in the home.,0;;;
The product is based on the Digital Home High Level Requirements Definition [HLRD 2010] is intended as a prototype, which will allow business decisions to be made about future development of a commercial product.,0;;;
The scope of the project will be limited to the management of devices which control temperature, humidity, security, and power to small appliances and lighting units, through the use of a web-ready device.,0;;;
The prototype DH software system will be situated in a simulated environment.,0;;;
For example, a Master User shall be able to add a user account or change the default parameter settings.,0;;;
The ?prototype? version of the DigitalHome System (as specified in this document) must be completed within twelve months of inception. 3.3.2,0;;;
The development team will consist of five engineers.,0;;;
The DigitalHomeOwner Director will provide management and communication support. 3.3.3,0;;;
Because of potential market competition for DigitalHome products, the cost of DigitalHome elements (sensors, controllers, server, tools, etc.), for this project should be minimized.,1;;;
There will be no actual physical home and all sensors and controllers will be simulated.,0;;;
The home system shall require an Internet Service Provider (ISP).,1;;;
This server will provide a. Interaction with and control of the DH elements b. Storage of DH plans and data. c. Ability to establish and maintain DH User Accounts d.,1;;;
The Gateway device shall operate up to a 1000-foot range for indoor transmission. 3.4.4 Sensors and Controllers 3.4.4.1,0;;;
The system shall include digital programmable thermostats, which shall be used to monitor and regulate the temperature of an enclosed space. a.,1;;;
The thermostat shall provide a reading of the current temperature in the space where the thermostat is located. b.,0;;;
The controller part of thermostat shall provides a ?set point? temperature that is used to control the flow of heat energy (by switching heating or cooling devices on or off as needed) to achieve the set point temperature. c.,1;;;
The sensor part of the thermostat has a sensitivity range between 14§F and 104§F (-10§C and 40§C).,0;;;
The system shall include digital programmable humidistats, which shall be used to monitor and regulate the humidity of an enclosed space. a.,0;;;
The humidistat shall provide a reading of the current humidity in the space where the humidistat is located. b.,0;;;
The humidistat shall provide a ?set point?,0;;;
The system shall include magnetic alarm contact switches which shall be used to monitor entry through a door or window when the switch is active. 3.4.4.4,1;;;
The system shall include security sound and light alarms, which can be activated when DigitalHome senses a security breach from a magnetic contact.,1;;;
This section provides a description of the functional requirements.,0;;;
There is a DH Use Case Model in the Appendix, which provides an overview of the system functionality and shows the relationships between the DigitalHome System entities. 4.1 General Requirements 4.1.1,0;;;
The DigitalHome System shall allow a web-ready computer, cell phone or PDA to control a home's temperature, humidity, lights, security, and the state of small appliances. 4.1.2,0;;;
The communication center of the DH system shall be a DH home web server, through which a user shall be able to monitor and control home devices and systems. 4.1.3,0;;;
A thermostat unit shall communicate, through wireless signals, with the master control unit. 4.2.4,0;;;
The system shall support Fahrenheit and Celsius temperature values. 4.2.5,1;;;
The system shall be compatible with a centralized HVAC (Heating, Ventilation and Air Conditioning) systems: gas, oil, electricity, solar, or a combination of two or more.,1;;;
The system shall adhere to the standards, policies and procedures of the American Society of Heating, Refrigerating and Air-Conditioning Engineers [ASHRAE 2010]. 4.3 Humidistat Requirements 4.3.1,1;;;
A DigitalHome system shall be able to activate both light and sound alarms: one sound alarm and one light alarm subsystem, with multiple lights. 4.4.2,0;;;
A user shall be able to override planned parameter values, through the DH website, or if available, through manual switches on household devices 4.6.3,0;;;
For a given month and year, in the past two years, DigitalHome shall be able to provide a report on the management and control of the home. 4.6.3.1,0;;;
The month report shall contain daily average, maximum (with time) and minimum (with time) values of temperature and humidity for each thermostat and humidistat, respectively. 4.6.3.2,1;;;
The month report shall provide the day and time for which any security breaches occurred, that is, when the security alarms were activated. 4.6.3.3,1;;;
The month report shall provide a section that indicates the periods of time when the DH System was not in operation.. 5.,1;;;
An environmental sensor or controller device shall have to be within 1000 feet of the master control device, in order to be in communication with the system. 5.2 Reliability 5.2.1,0;;;
The DigitalHome System must be highly reliable with no more than 1 failure per 10,000 hours of operation. 5.2.2,1;;;
The Digital Home System shall incorporate backup and recovery mechanisms. 5.2.2.1,1;;;
The DigitalHome System shall provide users with online documentation about the DigitalHome system installed in their home.,1;;;
The user documentation shall include the following: 5.7.1.1,0;;;
An FAQ section ? a set of ?,0;;;
Frequently Asked Questions? about use and maintenance of the DigitalHome System (e.g., ?,0;;;
How do I change my password?,0;;;
Where to I go to get DigitalHome support??). 5.7.1.2,0;;;
A section that explains how DH parameters are set and sensor values are read.,1;;;
This typically involves submission and verification of a username and a password.,0;;;
Software Requirements Specification for the Grid-BGC Application Version 1.0 This project is to develop a grid-based software infrastructure to support bio-geo- chemical modeling.,0;;;
The application will use the Daymet surface weather interpolation engine for generating gridded surface weather datasets from observation data records.,0;;;
The Biome-BGC model will be used to perform BGC modeling activities.,0;;;
The system shall provide a graphical user interface to all functions of the system.,0;;;
Grid technologies shall be utilized to provide secure and reliable communications to remote computing resources.,0;;;
Scientific users are the favored and primary user class for the system.,0;;;
Scientific users will use the system to manage input data, run simulations, visualize results, and manage output data.,0;;;
2.2.2 Portal Administrator The portal administrator will be in charge of managing the day to day operations of the system.,0;;;
This user will be responsible for managing user accounts, managing user runs if needed, and general portal settings and monitoring.,1;;;
2.2.3 Data Users (Lowest Priority) Data users are researchers who need to use simulation output but who do not have the ability to initiate simulations.,0;;;
This is the primary goal, do we need to address the issue where the first thing the user does is setup the supporting data?,1;;;
2.3.2 BiomeBGC Modeling Run Scenario where the user goes to the portal to run a BiomeBGC run.,0;;;
This is the primary goal, do we need to address the issue where the first thing the user does is setup the supporting data?,1;;;
2.5 Design and Implementation Constraints 2.5.1 The system shall use the Globus toolkit.,1;;;
2.5.2 NCAR Security policies and constraints.,1;;;
Major sections listed in TOC 2.6.2 Context sensitive online help manual 1.,1;;;
Each page will have a context sensitive link to the help system 2.,0;;;
2.7 Assumptions and Dependencies 2.7.1 The system will use the NCAR Mass Storage System for all file based storage.,1;;;
3 System Features 3.1 User Accounts Access to the functional areas of the system will be controlled by user accounts.,0;;;
All GridBGC users shall be required to have valid NCAR Gatekeeper accounts to use the system.,0;;;
Not all Gatekeeper account holders will have access to the GridBGC system.,0;;;
NCAR Gatekeeper password policies will be governed by the NCAR Gatekeeper tools and policies.,1;;;
Enforcement of these policies and procedures will NOT be enforced through the GridBGC portal.,0;;;
Users must use the existing Gatekeeper tools to manage their passwords.,0;;;
Administrator ? Has additional permissions to administer the operation of the system.,0;;;
The user must enter their NCAR Gatekeeper username.,0;;;
3.1.5.2 View account details The user can view their current account details 1.,0;;;
User must be logged in to the portal 2.,1;;;
Display all the account properties 3.,1;;;
Password will not be displayed 3.1.5.3 Delete account 1.,1;;;
The system shall provide a means to request that the user account be deleted from the system.,1;;;
The user shall be prompted at the beginning of the session for their credentials, once logged in they will not be prompted for additional or different credentials.,1;;;
All login actions shall be protected by using secure data channels 3.,0;;;
The system shall lock the account after 3 login attempts.,0;;;
This will require portal admin action to unlock the account.,0;;;
Admin users will be authenticated against the portal database.,1;;;
Portal Admin(s) will receive e-mail notification when new accounts are ready for review.,1;;;
Display a list of all accounts pending review 3.,0;;;
The system shall allow portal administrators the ability to control template submissions rights.,0;;;
3.1.6.3 List Accounts The portal admin shall have the ability to list the user accounts in the system 1.,0;;;
List all user accounts 2.,1;;;
List accounts pending approval 3.,1;;;
List all account deletion requests 4.,1;;;
List all locked accounts 3.1.6.4 Delete Accounts 1.,0;;;
Delete a specific user account 2.,1;;;
There operation will not be reversible 3.,1;;;
Data removal 3.1.,0;;;
Templates 3.1.1: All user submitted templates will NOT be deleted from disk 3.2.,0;;;
Shared Objects 3.2.1: All shared object that have NOT been referenced by dependant projects will be deleted.,0;;;
All other objects/projects 3.3.1: Will be deleted completely from the system.,0;;;
3.1.6.5 Lock/Unlock accounts 1.,0;;;
The admin can lock accounts 1.1.,1;;;
The user will be notified via e-mail 1.2.,1;;;
Further logins will not be permitted until unlocked 1.3.,1;;;
Currently executing jobs will continue to run until the job ends or terminated by the portal admin 2.,0;;;
The admin can unlock accounts 2.1.,0;;;
Once unlocked the user can login to the system and resume use 3.1.6.6 Job Management 1.,0;;;
The portal admin will have a display of all running jobs sorted by user 2.,1;;;
The status of each job and tile will be visible to the portal admin 3.,0;;;
The portal admin shall have the ability to terminate any user?s running jobs.,0;;;
The system shall assign all user accounts to the scientist role by default.,1;;;
The system shall allow the portal admin to change a user?s role in the system.,1;;;
3.1.6.8 Resource Quotas (Lowest Priority) Review the need to implement resource quotas if time permits at the end of the project.,0;;;
3.2 Data Organization The system will organize the system in to types of logical grouping elements: 1.,0;;;
Projects 3.2.1 Objects Objects will be elements the group related data elements in the system.,0;;;
Objects will be the mechanism by which data is shared and reused throughout the system.,0;;;
3.2.2 Projects Projects will be elements that group specific objects together to perform a unit of work.,1;;;
3.2.3 Data Element Relationships 3.2.4 Data Integrity 1.,1;;;
The system shall prevent the user from changing object/project values once that project has been used in a model run.,1;;;
This is to preserve the input values that produced a certain set of output values.,0;;;
Each object/project will have states which control when the user can change product values.,0;;;
The system shall support the following states 3.1.,0;;;
Unlocked ? The user can make changes as desired.,1;;;
Locked ? The user can not make any changes 3.3.,1;;;
Invalidated ? A dependency has been modified in someway and object/project may no longer have valid inputs or outputs.,0;;;
NOTE: See specific object/project details for the logic rules for each type.,0;;;
Go through the whole locked/invalidation sequence, try to do it at a very generic level.,0;;;
3.3 Objects Objects will manage datasets and references to other logically related datasets.,0;;;
List objects will contain arbitrary points of data 2.,1;;;
Grid objects will contain rectangular grid datasets.,1;;;
3.3.1.3 Parameterization Objects 1.,0;;;
Parameterization projects will contain model specific parameter data 3.3.2 Sharing 1.,0;;;
Users can select to share specific objects with other users.,1;;;
Users can specify which users to share the object with: 2.1.,1;;;
When a shared project is referenced in the system the underlying datasets will NOT be copied.,0;;;
Once a shared project has been referenced elsewhere in the system it will be in a locked state.,1;;;
3.3.3 Merging Objects Users can create new dataset project by merging existing objects 1.,1;;;
Merging operation will always be used to create new datasets from two existing datasets.,0;;;
Will not check for missing values 5.,0;;;
Full copies of the source datasets will be made during the creation of the merged dataset.,0;;;
The system shall display dataset metadata to allow users to screen data prior to merging operations.,0;;;
3.4 Projects Project will have two main functions within the system; contain references to supporting datasets and serve as the simulation run control element.,0;;
The user shall specify the type of project during initial setup; either List or Grid 2.,0;;
The system shall only allow the user to reference datasets of the same type as specified in the project 3.4.2 Collaboration 1.,0;;;
Grid projects 3.4.4 Referenced Objects 1.,0;;;
List and Grid types matching shall be enforced.,0;;;
3.5 Template Objects System templates will provide a means of sharing expert knowledge within the portal.,0;;;
Not all Object types shall support templates, see specific object details for more details.,0;;;
Only users with template submission privileges can submit new templates.,1;;;
Once a template has been submitted it can no longer be edited.,1;;;
The system shall allow the following users to delete templates from the system: 1.1.,0;;;
The system shall provide portal admin(s) with a list of all system templates by project type.,1;;;
The system shall provide users with a list of their templates in the system.,1;;;
Any time a template is used the user shall get their own full private copy of the data 2.,0;;;
The user must supply a new project name when using a template before saving the project.,0;;;
If the template references a non-shared data resource the user must choose a new dataset before saving the project.,0;;;
Daymet Specific Objects and Projects 3.6 Projection Object This object defines the projection parameters for a dataset.,0;;;
3.6.2 Support Projection Types The system shall support the following projection types 1.,0;;;
Interrupted Mollweide 3.6.3 Creation 1.,0;;;
New Blank 2.,1;;;
Copied from system template.,1;;;
View List of projection projects 2.,1;;;
View Projection Details 3.6.5 Update 1.,1;;;
The project must be in an unlocked state 2.,1;;;
The user can change the parameter values 3.,1;;;
The user can NOT change the projection type 3.6.6 Delete 1.,1;;;
If the project is in an unlocked state 1.1.,1;;;
The project and all related data can be deleted.,1;;;
If the project is in a locked state 2.1.,1;;;
The user shall be prompted to delete all projects that reference this project following the candidate project deletion rules.,0;;;
This information will not be downloadable by the user.,0;;;
The user shall be prompted to delete all projects that reference this object following the candidate object deletion rules.,0;;;
This information will not be downloadable by the user.,0;;;
3.8 Surface Observation Object This dataset contains observed surface weather data.,0;;;
This is one the primary input data sets in the Daymet model.,0;;;
3.8.1 Referenced Objects None 3.8.2 Collaboration 1.,1;;;
Projection Objects can be shared.,1;;;
3.8.3 Supported Object Types 1.,0;;;
The user can create a new object from a subset of a single existing object.,0;;;
How is the subset performed specified?,0;;;
The system shall display a list of all the objects the user currently has in the system 2.,1;;;
The system shall display the object details 2.1.,1;;;
Address the invalidation logic for locked state?.,0;;;
The system shall allow the user to delete an unlocked project.,1;;;
Address the invalidation logic for locked state?.,1;;;
The system shall allow the user to delete a locked project under the following conditions: 3.1.,0;;;
The user has selected to delete all associated projects that reference the project.,1;;;
The system shall delete all associated input and model output data for this project during deletion.,1;;;
Site Data Objects can be shared.,0;;;
3.9.3 Supported Object Types 1.,0;;;
User can upload files to the system 1.1.1: List File Formats 1.1.2: Specify required archive structure 2.,0;;;
Merge existing objects 3.,1;;;
Subset of existing object 3.1.,1;;;
The system shall display a list of all the objects the user currently has in the system 2.,0;;;
The system shall display the object details 2.1.,1;;;
Display all metadata associated for the object 3.9.6 Update 1.,0;;;
The system shall provide user interface to manage the observation points 2.2.,1;;;
The system shall allow a user to add new data points 2.3.,1;;;
The system shall allow a user to edit existing data points 2.4.,1;;;
The system shall allow a user to delete existing data points 3.9.7 Delete 1.,1;;;
The system shall allow the user to delete an unlocked object.,1;;;
The system shall allow the user to delete a locked object under the following conditions: 2.1.,0;;;
The user has selected to delete all associated objects/projects that reference the project.,1;;;
The system shall delete all associated input and model output data for this project during deletion.,1;;;
TBD - Later 3.10 Daymet Parameterization Object This project contains all the parameterizations values for a daymet model run.,0;;;
Daymet Parameterization Objects can be templates.,0;;;
The system shall provide a user interface to manage all parameterization values.,1;;;
The system shall display a list of all the objects the user currently has in the system 2.,1;;;
The system shall display the object details 2.1.,0;;;
DEM Objects can be shared.,1;;;
What is the native model format?,0;;;
The system shall display a list of all the objects the user currently has in the system 2.,0;;;
The system shall display the object details 2.1.,0;;;
Analysis Mask objects can be shared.,0;;;
The system shall display a list of all the objects the user currently has in the system 2.,0;;;
The system shall display the object details 2.1.,0;;;
TBD ? Later 3.13 Daymet Project This project aggregates all input objects and simulation control functions.,0;;;
This project is the defining project for determining whether the project chain is list or grid based.,0;;;
The system shall display the project details 2.1.,0;;;
The system shall allow the user to delete an unlocked data project.,0;;;
TODO ? Reference the whole project dependency flow?.,0;;;
The system shall allow the user to delete an unlocked project.,1;;;
The system shall allow the user to delete a locked project under the following conditions: 2.1.,1;;;
The user has selected to delete all associated projects that reference the project.,0;;;
The system shall delete all associated input and model output data for this project during deletion.,1;;;
The system shall display a list of computational resources to select from.,1;;;
The system shall provide the user with an approximate execution time estimate based on the computational resource selected.,0;;;
The system shall allow the user to monitor and control model runs 2.1.,0;;;
The system shall display a list of runs currently active for the user 2.2.,0;;;
The system shall display the overall run status 2.3.,0;;;
Daymet model runs shall be monitored on a tile by tile basis.,0;;;
The system shall display a list of all the output tiles to the user.,1;;;
The system shall allow the user to download the data files on a tile by tile basis.,1;;;
The system shall allow the user to download the data in the native system formats and conventions only.,1;;;
The system shall provide the portal admin a function to validate file references in the system correspond to actual files on the storage system.,1;;;
The system shall generate a listing of any missing files.,1;;;
Could give the admin the ability to reset a file pointer to a new file on the storage system.,0;;;
Could give the admin the ability to invalidate/delete the object that corresponds to the inconsistent file pointer 3.3.,0;;;
The system shall list all the compute nodes 2.,1;;;
The system shall display the compute node resource details 3.,1;;;
The system shall allow the admin to manage compute resources 3.1.,1;;;
The system shall allow the admin to change compute node settings 4.1.,1;;;
TBD ? Determine what the admin can change?.,1;;;
The system shall allow the portal admin to control the following system settings 1.1.,0;;;
TBD ? List all the general configuration settings the admin has control over.,0;;;
5.1.1.2 TBD ? Can we use the users portal credentials to use the MSS or are we going to proxy the user through a central account with MSS access.,0;;;
Software Requirements Specification for Grid 3D Application This document uses the Volere template for writing and designing requirements specifications.,0;;;
The template itself is copyright.,0;;;
We hereby acknowledge this copyright.,0;;;
Details can be found at the Atlantic Systems Guild web site at www.atlsysguild.com.,0;;;
PRODUCT CONSTRAINTS 1.1 Purpose of the the Product 1.1.1 Background to the Project Effort The need for a method of visualisation of biological data has been identified.,0;;;
Currently, there are many groups offering many different tools for visualising data.,0;;;
These visualisation tools provide a range from tabular to three-dimensional graphical views.,0;;;
However, a need has been identified for a tool that can display data in a three dimensional environment, which allows the user to investigate the data and easily see various attributes of the data at a glance.,0;;;
A need for the above-mentioned tool has been identified and, there being no applicable tool available, a project to create such a tool was conceptualised.,0;;;
The primary stakeholder (see 1.2.1) has made the case that the tool to be created is of relevance use and there is a real need for it.,0;;;
This need is established through continual use of other similar tools and a continued identification of their shortfalls.,0;;;
1.1.2 Goals of the Product We want to give the user the ability to visualise and investigate their data in a three dimensional environment.,0;;;
The user should have the ability to see (at a glance) the differences of various selected attributes of their data.,1;;;
The overall goal of this product is to provide the users with something that has previously been unavailable.,1;;;
1.2 Client, Customer and other Stakeholders 1.2.1 The Client The client for this product is Dr Delmiro Fernandez-Reyes, a supervisor at the NIMR.,0;;;
Eventually, the client would like to present and make available the product for the benefit of research merit.,1;;;
The client has said that he is solely responsible for approving changes in the scope of the project.,1;;;
1.2.2 The Customer The customer for this product is anyone from the parasitology department at the NIMR, represented here by Dr Delmiro Fernandez-Reyes.,0;;;
Potential customers may include anyone who works in the field of research and would find this product useful.,0;;;
1.3 The Users of the Product People who may use this product; ? Anyone investigating proteins.,0;;
1.4.2 Implementation Environment This section will describe the technological and physical environment that the product will be installed.,1;;;
? The product should run on a minimum of a mid-range personal computer.,1;;;
? The product shall run with the minimum input tools of mouse and keyboard.,1;;;
? The user must have a capability for creating tab-delimited text files.,1;;;
1.4.3 Partner Applications This section will describe some of the applications that are not part of the product, but with which the product will, or may, collaborate.,0;;;
? Microsoft Windows 98, 2000, NT and XP Operating Systems ? Linux and Solaris Operating Systems ? Matlab ? used for some of the pre-product data generations.,1;;;
Matlab can also be used for manipulating the format of the product's required data.,1;;;
? Tomcat/Apache/Ant ? possibly to be used for product deployment 1.4.4 How Long to Develop?,1;;;
The Grid 3D application was originally developed to be included for a scientific paper to be published at some point in March 2005.,0;;;
It was, therefore, essential that the application be ready by then.,0;;;
The motivation for developing the application within this short time frame was to, firstly, included it in the paper, but also to produce an original product in a constantly advancing genre.,0;;;
1.5 Naming Conventions and Definitions This section shall provide a dictionary containing the meaning of all the name used within this requirements specification document.,0;;;
? Biological data ? data of a biological scientific nature generated by some product or process (external to the Grid 3D application).,0;;;
The demonstrator uses the three dimensional view generated by the application to demonstrate one or more properties of the data to any other person.,0;;;
? Grid 3D ? the application for which this document contains the requirements.,0;;;
For a detailed representation of the Grid 3D application, please refer to the Design document.,0;;;
? Identifier ? refers to a user of the Grid 3D application.,0;;;
The identifier use the application to identify different ?points of interest?.,0;;;
For example, a point that is not close to any other point may be of interest.,0;;;
An identifier may become an investigator.,1;;;
? Investigator ? refers to a user of the Grid 3D application.,0;;;
The investigator uses the application in order to find detailed information about specific points.,1;;;
An investigator may originate as an identifier.,0;;;
1.6 Assumptions This section contains a list of assumptions that are to be made by the developers.,0;;;
? The users have the computing skill for basic operation of one of the operating systems documented in 1.4.3.,0;;;
See 3.3 for minimum requirements for the work station.,0;;;
For a description of any of the below-mentioned names, please refer to 1.5.,0;;;
The context diagram above represents the Grid 3D application during the initialisation stages.,0;;;
It is important to differentiate this with the work context for the application in a state of running.,0;;;
The following diagram aims to describe the work context for the application when it is being run by the users (identified above).,0;;;
In the following diagram, the users are grouped as one entity.,0;;;
This is for convenience only and should be thought of as separate entities.,0;;;
However, the work context applies to each of them in the same manner and, therefore, have been grouped to further the simplicity and understandability of the diagram.,0;;;
The purpose of this section is to identify all the business events to which the product responds.,0;;;
This is to identify the logical parts of work that can be used as the basis for discovering the detailed requirements.,0;;;
This section aims to generate some use cases for the Grid 3D application.,0;;;
These shall be generated from the events list contained in 2.1.2.,1;;;
It is hoped that use cases can be given that cover all the events listed in 2.1.2.,1;;;
With this in mind, the use cases will cover more than one event as more than one event can be captured with a single use-case.,0;;;
This section describes the functional requirements for the Grid 3D application.,0;;;
Each functional requirement should have a fit criterion in order to make it possible to test whether the requirement is implemented as specified in the delivered product.,0;;;
? The product shall plot the data points in a scientifically correct manner.,1;;;
? The grid axis should be labelled correctly according to the input from the data file.,1;;;
? Data points should be coloured in accordance to the cluster number (contained in the data file) ? The product should be able to handle up to 2000 data points.,1;;;
? A single click of the mouse over a data point should bring up the name of the data point.,1;;;
? A double-click of the mouse over the data point should cause the application to display all the data point's details.,0;;;
? The product should allow multiple points to clicked so that multiple names can be displayed.,0;;;
? The product should allow the grid to be oriented by the user.,0;;;
Rotation, zoom and move functions should be employed.,0;;;
2.2.2 Data Requirements The use of the Grid 3D application involves the user supplying a data file.,0;;;
This data file contains all the information of the points that are to be plotted.,1;;;
This is the attribute that is to be used as the comparison.,1;;;
? A description for the data point.,0;;;
In order for the grid to reflect the nature of the user's data, the system should allow for the user to specify their own axis.,0;;;
With this in mind, the first row of the data file should contain the column headings.,0;;;
The following table proposes the format for the data file.,0;;;
? The axis should be clearly labelled and easily recognised after the grid has been oriented into a different position.,1;;;
? The application should be coloured so that the screen shots can be printed out clearly (i.e., black on white background).,1;;;
? The application should be intuitive and not require any specialist training.,1;;;
3.2 Performance Requirements This section aims to specify some of the timing and performance constraints to which the product will aim to adhere.,1;;;
? The program should start within 30 seconds ? This depends on the number of data points that are to be plotted.,1;;;
? The interaction with the data points should have a delay of no longer than 2 seconds.,1;;;
? The response to a change in the orientation should be fast enough to avoid interrupting the user's flow of thought.,1;;;
